,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC37A4,2867.9655508580604,0.509910161035337,0.0599529377429132,8.50517389526274,1.8132360213967996e-17,2.0682636292406697e-15
FAM84B,3674.99144919854,0.678163559228644,0.0799332160252863,8.48412703692682,2.1734420879583703e-17,2.4459477067080896e-15
ARVCF,1354.68838666806,-0.6387228033030831,0.0755853563886216,-8.45035115028225,2.9042797364242204e-17,3.22756237458494e-15
YDJC,3917.7053715237203,0.574567618023833,0.068314975292335,8.41056613963674,4.08036398597814e-17,4.45110135182069e-15
FUT11,743.293321577413,0.5718651994033521,0.0682550191970906,8.37836112465306,5.36697593577427e-17,5.74880717554231e-15
STMN2,387.977213640277,0.967078116309803,0.11564894093465598,8.362187396564421,6.156594855534529e-17,6.4775392382402005e-15
ZBTB48,1035.51458468065,-0.524174652897777,0.0635639992527718,-8.24640770026627,1.6322710539199597e-16,1.6490574778267502e-14
ACTA2,337.11962282282,-1.09940073029259,0.13415540302509402,-8.19497914733221,2.5063661048378496e-16,2.4588129316521e-14
CA8,906.5805351925661,0.770919091892902,0.0941260199551297,8.190286726883839,2.60604581136503e-16,2.5321366432722196e-14
NDRG1,1762.33761543466,0.557419790849774,0.0682274006747974,8.17002824871914,3.08317254210853e-16,2.94741349307698e-14
RCOR3,1311.8782428240402,-0.6294864675761159,0.0774640999710796,-8.126170288057681,4.4306646722869295e-16,4.0609097184501996e-14
CCDC130,1118.25034881945,-0.623797218207599,0.0770174996469799,-8.09942183356845,5.522099394770861e-16,5.009614762164321e-14
DHCR24,4194.32674365583,0.692557814143564,0.0857731895367491,8.074292420323731,6.78690514633832e-16,6.09315697519564e-14
CEP89,1244.03056573968,-0.571690620704021,0.070865981215717,-8.067208142702299,7.1923873988236e-16,6.39394384361523e-14
CYR61,627.9880373822799,0.629851142525626,0.0781168164880482,8.062939208768091,7.44815678428717e-16,6.556221573337129e-14
AGAP2,827.625809411799,0.5707964076423261,0.0708388877677941,8.057670378921879,7.77621652834456e-16,6.81127616209333e-14
ZNF84,797.010884321561,-0.7271850339606529,0.0908946444007929,-8.000306715037981,1.24109669906369e-15,1.0712592430122099e-13
TFRC,5015.50612860907,0.51055567086163,0.0640642347112243,7.96943369671093,1.5940312333817402e-15,1.3496890171790898e-13
MBTD1,2207.06386944341,-0.532363428690432,0.0668516456617734,-7.9633556275316,1.6743534545475499e-15,1.4043244705334902e-13
TEX10,1972.24606956084,-0.6582831656596021,0.0826921992292581,-7.960644072780791,1.7114604507595501e-15,1.42870790023266e-13
RSAD1,2336.838797577,0.507240733023444,0.0638338369600111,7.94626732748661,1.9221539256877502e-15,1.5896659977978602e-13
CCDC28A,995.007350532731,-0.537695226417907,0.0676780141411409,-7.944902539494691,1.94343523086284e-15,1.5998250851839003e-13
STYXL1,632.7747649935881,-0.5621915068600201,0.0711513555616841,-7.901346396311901,2.7590671123791597e-15,2.2198630011409e-13
ZFAND2A,421.906403318137,-0.702149658696298,0.0888735895204252,-7.900543485249099,2.77689938503552e-15,2.2241463047439898e-13
C12orf4,967.274304733902,-0.543933345831805,0.0689914031385928,-7.884074262689349,3.16875805778513e-15,2.50416386779899e-13
ADAMTS1,6789.79538687628,1.0418604035365502,0.13284831604802003,7.84248106810745,4.41730343908136e-15,3.41495967175242e-13
LRRC40,2315.40312335615,-0.5263612537912921,0.0673049543839082,-7.82054246391612,5.2596185697028e-15,3.9796288420376796e-13
ZNF829,372.801602603271,-0.7834276088373711,0.10019540744447099,-7.818997185789731,5.32458007583792e-15,4.01171009866415e-13
MFSD3,1085.68698577842,0.645046404249017,0.0831477945426426,7.757829390389941,8.639526576467381e-15,6.32178691589162e-13
TRIP4,560.003373345402,-0.675546508892782,0.0875385401910823,-7.7171324472417995,1.18976003476302e-14,8.599643568341969e-13
SACS,2427.54804599121,0.60432936305409,0.0784000715806918,7.70827565421411,1.27529061284319e-14,9.14352515603421e-13
CLK4,661.1618770099,-0.6212046774634999,0.0808448027682931,-7.683916048925441,1.5429779812484698e-14,1.09305543763263e-12
CBWD7,341.882891154169,-0.841784918016266,0.109932869168032,-7.65726324062005,1.8993706095245e-14,1.33823146725578e-12
CCDC93,2158.8147842831,-0.566886537025314,0.0741946074416059,-7.6405355668398895,2.16320028401303e-14,1.5143253641746298e-12
MATK,1434.34053431072,0.5934786010113051,0.0777119132839347,7.636906311171661,2.2250328515619898e-14,1.55150231896563e-12
SHC1,1349.56454929468,-0.53747490883136,0.0704438164457424,-7.6298380177249,2.35048857968665e-14,1.6325795873206398e-12
GGNBP2,2599.8925875126,-0.5686762080291159,0.0751242394654503,-7.56980985199391,3.73770922075878e-14,2.50793236431366e-12
KCNN4,37.541624111504895,-2.5468348444457902,0.337258213209825,-7.551587314083519,4.2998512497050695e-14,2.86350768056202e-12
KIAA1468,940.79589823982,-0.8072103903383149,0.106974444070815,-7.545824587823559,4.49434641717524e-14,2.96334257110503e-12
SYF2,1455.3641061005999,-0.558066774205529,0.07395673258863901,-7.545854916409019,4.4933005079566997e-14,2.96334257110503e-12
BTN3A2,676.984286779896,0.6949367061476011,0.0923089114127819,7.5283815561427305,5.13730880082505e-14,3.34602519368023e-12
EGFL7,1321.22727913827,0.553431438500442,0.0741705444190301,7.46160679870171,8.54736390792424e-14,5.506546291550759e-12
TMEM132A,2411.65302447883,0.6235744891555141,0.083916476998036,7.430894521109459,1.0786570398382901e-13,6.8991369875412305e-12
EDA2R,137.093957222124,-1.2618050520508302,0.170126613468722,-7.416858693203911,1.19930782083992e-13,7.61603298655524e-12
HES2,138.32418954077,1.26085538396125,0.17024930172337197,7.4059357142617905,1.30228912012878e-13,8.15352212852458e-12
ZNF557,532.910041407843,-0.650004798382555,0.0878487148024716,-7.39913839199692,1.37070943357904e-13,8.4334202209235e-12
B4GALNT1,1025.13775125193,0.703164825330032,0.0950481293039874,7.39798700383821,1.3826437876302804e-13,8.448381164211021e-12
RPS27L,658.408976885813,-0.6294730986623449,0.0854405234126553,-7.36738345599962,1.74009438856733e-13,1.04883451942765e-11
ELL,1025.2631835343302,-0.506584247707307,0.06884962964113701,-7.35783547925766,1.8691620977032502e-13,1.1190428033421401e-11
RITA1,2119.48815274454,0.511718768060358,0.0695946084257143,7.3528507399617,1.9402356157234698e-13,1.1499776494393e-11
NT5C2,1755.6943633700303,-0.538985336898666,0.0734450367977192,-7.338621646866731,2.15804714720518e-13,1.2664104397510003e-11
NPTX2,782.946680146393,0.586348935576138,0.0805405140192301,7.2801737450563095,3.33390519696112e-13,1.93726040219496e-11
SAPCD2,1653.6105211259803,0.6527680734955511,0.0900267977740577,7.25081964076761,4.14257013989166e-13,2.3458292884526603e-11
STK19,821.651989335934,-0.503319575328452,0.0699679632486022,-7.1935719143362,6.311788339262111e-13,3.47461016905324e-11
CEP95,1877.67393621599,-0.689476430942464,0.0960522747055852,-7.17813745750232,7.066749343313159e-13,3.8782058664645496e-11
HOXB3,821.9500601477021,-0.558329370549934,0.0778774779476784,-7.1693304054484805,7.53654670079515e-13,4.12330267344119e-11
SLC44A5,652.036405663883,-0.571860812435482,0.0798006046206059,-7.16612129888322,7.71524199645853e-13,4.2081201821787996e-11
CST3,1624.6395791593802,0.521997640070426,0.0729873577434217,7.151891179640269,8.55904109303817e-13,4.63988749010096e-11
TMEM87B,467.734450857134,-0.666304256322944,0.0934696270679694,-7.128564403476441,1.0142114191794301e-12,5.41552349682566e-11
GAS1,568.327837126778,0.6032992787165821,0.0846960330333439,7.12311140332947,1.0551746340337201e-12,5.61738328375858e-11
ACTR10,1238.09277089009,-0.637803158588598,0.0896022215523669,-7.118162335024719,1.09375506252585e-12,5.7881127282059706e-11
LRRC37B,634.801868621372,-0.533385650234404,0.0750812179857816,-7.10411557701971,1.2109548704820502e-12,6.3516190419001e-11
EAPP,775.219308611723,-0.508524175848534,0.0716367477769521,-7.09864966835,1.25981707071053e-12,6.58847274538351e-11
ID1,245.233304700949,1.0330273465575601,0.145978774773038,7.076558548759349,1.47778334980842e-12,7.68317711781974e-11
FN1,2505.2814790098396,0.617903102148171,0.0873398818847042,7.07469587563507,1.49776869476634e-12,7.76438051359775e-11
IL27RA,766.318020164532,0.676137877185368,0.0960394355812487,7.04021085810485,1.91949133374433e-12,9.614218424030391e-11
GPM6B,807.872450831169,0.561373247306283,0.0805297782044132,6.971002029601,3.14691431474542e-12,1.50822866389457e-10
C20orf194,642.801688332114,-0.532452964491151,0.0766188366104281,-6.949374175418921,3.669102005772681e-12,1.7213800201753003e-10
RBM4,4268.78833541921,-0.543059058743953,0.0781527898538347,-6.948684234556559,3.6870877213453405e-12,1.7252659677168798e-10
PROCR,1251.78389899769,0.712956497354947,0.102857425984087,6.93150242224849,4.16394323628632e-12,1.9268111571023798e-10
FBXO8,610.83405097919,-0.6721915218624671,0.0976502388470896,-6.88366490239774,5.8332001268584696e-12,2.6478574767783e-10
FZD9,274.039863001679,0.7165124440165591,0.10409037816702198,6.88356077318555,5.83746769527638e-12,2.6478574767783e-10
OAF,930.488690226486,0.505175830120161,0.0734489665631211,6.877916106362361,6.07344171786584e-12,2.74788466120541e-10
IFT43,659.307426302623,-0.500215472820818,0.0729951587389997,-6.852721214147639,7.245821227048299e-12,3.22902123403874e-10
EPHA8,335.522945878194,0.7261900545666701,0.106022219270791,6.849413826283981,7.41532010890594e-12,3.29629517141141e-10
FZD8,467.922780867553,0.562417321929093,0.0822884897248792,6.83470220208758,8.21755534853188e-12,3.62571592189194e-10
