"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KARS",5417.26536159678,0.134477253265709,0.0505325336729693,2.6612014773691,0.00778623505197875,0.0289880748448983
"PRPF19",5830.34935811581,0.143924951027846,0.0540921217439076,2.6607377634259,0.00779696562438841,0.0290219480358489
"ZNF572",52.1910068850962,-0.696046636042788,0.261639791630028,-2.66032407267405,0.00780654981592519,0.0290515408700221
"SLC13A3",1015.87669824297,0.168415134505929,0.0633079811231326,2.66025122769853,0.00780823854634866,0.0290517450497229
"CNTN1",697.658593525664,0.291119681107108,0.109468532696508,2.65939146105313,0.00782819484972857,0.0291199022223899
"CA5BP1",674.226407378982,0.205973451767244,0.0774596152834979,2.65910760095299,0.00783479363871528,0.0291383529993718
"BTBD7",2075.27851331046,0.164564688519692,0.0618894900337224,2.6590086366849,0.00783709539507638,0.0291408183228467
"AGFG2",379.668476166654,-0.233641735105297,0.0878758744445988,-2.6587699591268,0.0078426491597883,0.0291492777404255
"NOB1",4022.92823738139,0.134934811276095,0.0507500341953256,2.65881222378611,0.00784166545075799,0.0291492777404255
"CD47",2677.48967715514,0.162424338082106,0.0611359901079939,2.6567712045751,0.00788929654923252,0.0293165270515995
"PRMT6",2020.51674380535,0.205833790751258,0.0774876712350604,2.65634245384477,0.00789933514561762,0.0293476970798636
"RPL13",67062.6079108922,0.227391231189366,0.0856242050776224,2.65568866867991,0.00791466463260575,0.0293985067542016
"ARL6IP6",1678.01411517827,0.260125715797286,0.0979596981623088,2.65543606888504,0.00792059454425549,0.029414388385841
"EXOC4",1860.66177351691,-0.186264013761247,0.0701495190037329,-2.65524292121426,0.00792513147061595,0.0294250913925709
"IMPG2",19.2678091193588,-0.986499860895941,0.371705905134189,-2.65397952324649,0.00795486540153383,0.0295293239466958
"SRSF9",6019.01067685277,0.0989449994389028,0.0372904378859596,2.65336115766441,0.00796945495045439,0.0295773071329638
"AIFM2",228.998258784925,-0.312861033214672,0.117942204425012,-2.65266394451351,0.00798593354350135,0.0296322797030462
"ARF4",4199.44807022135,0.17855491185491,0.0673141158353281,2.65256268524291,0.00798832933633733,0.0296349851720038
"PSMA2",3152.92219167518,0.158046975316449,0.0596031619621394,2.65165420950054,0.00800985266569525,0.0297086337606857
"CCDC126",426.216775648862,0.303221068580417,0.114373205999116,2.6511547519509,0.00802170776929726,0.0297463995507559
"H3F3B",16614.1670243539,-0.131907309297321,0.0497588960328679,-2.65092917676852,0.0080270671606666,0.0297538630777179
"NDUFV2",1218.94878831505,0.182464317545546,0.0688299061589608,2.65094531909066,0.00802668353229292,0.0297538630777179
"POLR2L",897.422872365803,0.237610751001202,0.0896392812461354,2.6507435992125,0.00803147866065258,0.0297640104345693
