"","x"
"TCGA.CM.4744",0.398486181174805
"TCGA.A6.2678",0.397708782428293
"TCGA.AY.A71X",0.393964383329011
"TCGA.DM.A280",0.392565516269799
"TCGA.A6.2685",0.388258273939792
"TCGA.D5.6529",0.387452446948716
"TCGA.AA.3527",0.387238077984857
"TCGA.A6.5657",0.38385861761648
"TCGA.AZ.6599",0.382707470735912
"TCGA.AA.3858",0.381442695402513
"TCGA.AA.3812",0.38072427255993
"TCGA.AZ.4684",0.379228422852911
"TCGA.CM.6678",0.377905507463553
"TCGA.AA.3680",0.372852391081213
"TCGA.A6.6654",0.371206368288108
"TCGA.AA.3524",0.369566110462166
"TCGA.CM.6680",0.369053327587665
"TCGA.AA.3673",0.369052791821532
"TCGA.A6.6651",0.368934273892034
"TCGA.AA.3696",0.365293243623016
"TCGA.AA.3979",0.365100580625882
"TCGA.G4.6297",0.364895816712068
"TCGA.AA.3855",0.364048944239627
"TCGA.AA.3525",0.363433497817704
"TCGA.DM.A28C",0.36304155243575
"TCGA.AA.3520",0.362956049020066
"TCGA.A6.2684",0.361013702703252
"TCGA.AA.3655",0.359246386563814
"TCGA.5M.AAT4",0.358162269518191
"TCGA.DM.A28G",0.357608565196739
"TCGA.CM.6165",0.35550095577356
"TCGA.AA.3841",0.355376595910642
"TCGA.AA.3488",0.353316189384364
"TCGA.D5.6536",0.353203681557373
"TCGA.AA.3848",0.352954878877351
"TCGA.AA.3861",0.35173457016976
"TCGA.AA.3662",0.350469609987428
"TCGA.AA.3506",0.350295414906026
"TCGA.D5.6898",0.349220554252569
"TCGA.AA.A01Z",0.348867421333337
"TCGA.AA.A00D",0.348026597165373
"TCGA.AZ.5407",0.348009358027509
"TCGA.F4.6854",0.34776597166866
"TCGA.AA.3489",0.345978693631155
"TCGA.G4.6322",0.344605017994025
"TCGA.AZ.4308",0.343539127823697
"TCGA.AA.3517",0.341980342342795
"TCGA.F4.6807",0.340958709722303
"TCGA.NH.A6GB",0.338311408373942
"TCGA.AA.3526",0.337174632428056
"TCGA.A6.4105",0.33304004359779
"TCGA.AA.3502",0.332742509326648
"TCGA.AA.3521",0.332152486918885
"TCGA.D5.5538",0.331685467113175
"TCGA.CM.6161",0.331312694883532
"TCGA.AA.3522",0.329422240478
"TCGA.CA.6716",0.328891111278145
"TCGA.QL.A97D",0.328021076888364
"TCGA.AA.A00U",0.327240521450221
"TCGA.DM.A28M",0.326081495839489
"TCGA.F4.6855",0.32558639851934
"TCGA.DM.A1D6",0.323213261869956
"TCGA.AA.A01G",0.321177274689043
"TCGA.D5.6539",0.319782657397432
"TCGA.AA.3667",0.319672953816316
"TCGA.AA.3660",0.318804825208118
"TCGA.CK.4948",0.316562939381009
"TCGA.AA.A01I",0.31639179359251
"TCGA.AA.3530",0.315492588362733
"TCGA.D5.6924",0.315451471202705
"TCGA.AA.3856",0.314851112987634
"TCGA.D5.6541",0.31430479268666
"TCGA.AA.A024",0.313595225528927
"TCGA.AA.3494",0.31129114718043
"TCGA.AA.3875",0.30892055363975
"TCGA.AD.6899",0.308605811019223
"TCGA.CM.5348",0.307592743876678
"TCGA.A6.5660",0.307249022022677
"TCGA.AA.3952",0.306677842604697
"TCGA.CM.5864",0.304416274350442
"TCGA.F4.6809",0.30346741697183
"TCGA.G4.6314",0.303425041145702
"TCGA.AD.6901",0.303181060410306
"TCGA.G4.6323",0.301870267930975
"TCGA.AA.3968",0.300265021346518
"TCGA.G4.6303",0.30017988915387
"TCGA.3L.AA1B",0.299328603762348
"TCGA.CM.6675",0.298990951428843
"TCGA.NH.A6GA",0.298854292775542
"TCGA.D5.6923",0.298725553022608
"TCGA.DM.A288",0.296655648764854
"TCGA.AA.A00L",0.294643351890061
"TCGA.CM.5341",0.29061555658241
"TCGA.AM.5820",0.290448561843602
"TCGA.A6.2682",0.28984320363366
"TCGA.G4.6625",0.289507590764478
"TCGA.CM.6676",0.288948551828028
"TCGA.DM.A28E",0.287867874170177
"TCGA.AA.3549",0.286591036683635
"TCGA.G4.6293",0.28647497082324
"TCGA.CM.4746",0.286438743482201
"TCGA.D5.6537",0.286378319383633
"TCGA.AA.A02J",0.284720481134698
"TCGA.AZ.4616",0.283917615204437
"TCGA.D5.5541",0.28323905203952
"TCGA.AA.3511",0.282399769840902
"TCGA.AA.3867",0.282277772558132
"TCGA.A6.6650",0.281714960828239
"TCGA.AA.3544",0.281445873210964
"TCGA.CM.6169",0.281113488834909
"TCGA.A6.6142",0.280929949446753
"TCGA.A6.A5ZU",0.28041390231805
"TCGA.DM.A0XD",0.279930703057507
"TCGA.CM.5860",0.27866293360711
"TCGA.G4.6298",0.277283741394105
"TCGA.NH.A6GC",0.277011002657121
"TCGA.D5.6932",0.276122681827335
"TCGA.AY.4070",0.275801698883458
"TCGA.AA.A01F",0.275762022502795
"TCGA.A6.3810",0.275277637510512
"TCGA.RU.A8FL",0.275143781694781
"TCGA.DM.A1D7",0.274418169092986
"TCGA.AA.3560",0.274274405699985
